Ky,Ngay,Time,Main,Special,DisplayLines,Label,SourceUrl,SourceDate
1288,30/12/2025,,"11,30,35,41,48,55",38,11 30 35 41 48 55 | ĐB 38,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-30-12-2025.html,30/12/2025
1287,27/12/2025,,"16,21,30,37,39,40",13,16 21 30 37 39 40 | ĐB 13,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-27-12-2025.html,27/12/2025
1286,25/12/2025,,"4,6,32,37,40,48",38,04 06 32 37 40 48 | ĐB 38,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-25-12-2025.html,25/12/2025
1285,23/12/2025,,"2,10,16,25,32,38",3,02 10 16 25 32 38 | ĐB 03,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-23-12-2025.html,23/12/2025
1284,20/12/2025,,"22,32,33,35,40,41",23,22 32 33 35 40 41 | ĐB 23,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-20-12-2025.html,20/12/2025
1283,18/12/2025,,"12,14,29,30,39,55",50,12 14 29 30 39 55 | ĐB 50,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-18-12-2025.html,18/12/2025
1282,16/12/2025,,"7,36,37,38,52,55",46,07 36 37 38 52 55 | ĐB 46,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-16-12-2025.html,16/12/2025
1281,13/12/2025,,"5,8,12,18,20,38",52,05 08 12 18 20 38 | ĐB 52,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-13-12-2025.html,13/12/2025
1280,11/12/2025,,"9,13,21,45,48,55",38,09 13 21 45 48 55 | ĐB 38,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-11-12-2025.html,11/12/2025
1279,09/12/2025,,"14,21,26,27,31,43",42,14 21 26 27 31 43 | ĐB 42,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-09-12-2025.html,09/12/2025
1278,06/12/2025,,"12,26,34,37,50,52",15,12 26 34 37 50 52 | ĐB 15,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-06-12-2025.html,06/12/2025
1277,04/12/2025,,"10,29,32,33,44,53",14,10 29 32 33 44 53 | ĐB 14,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-04-12-2025.html,04/12/2025
1276,02/12/2025,,"16,20,24,36,51,54",10,16 20 24 36 51 54 | ĐB 10,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-02-12-2025.html,02/12/2025
