rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
545,874,13,0,32,0.01223,0.063745,0.139887,0.230769,0.104538
546,472,22,0,100,0.020696,0.199203,0.097921,0.145455,0.104517
547,493,25,0,108,0.023518,0.215139,0.083932,0.144,0.104063
548,818,17,0,81,0.015992,0.161355,0.121236,0.152941,0.104028
549,070,19,0,78,0.017874,0.155378,0.11191,0.168421,0.103695
550,508,18,0,76,0.016933,0.151394,0.116573,0.166667,0.103664
551,018,16,0,66,0.015052,0.131474,0.125899,0.175,0.10358
552,602,17,0,68,0.015992,0.135458,0.121236,0.176471,0.103554
553,870,17,0,68,0.015992,0.135458,0.121236,0.176471,0.103554
554,073,22,0,97,0.020696,0.193227,0.097921,0.145455,0.103322
555,430,22,0,97,0.020696,0.193227,0.097921,0.145455,0.103322
556,336,21,0,81,0.019755,0.161355,0.102584,0.171429,0.103258
557,289,32,0,135,0.030103,0.268924,0.051292,0.125,0.103204
558,989,19,0,82,0.017874,0.163347,0.11191,0.157895,0.103183
559,935,21,0,71,0.019755,0.141434,0.102584,0.190476,0.103084
560,504,20,0,88,0.018815,0.175299,0.107247,0.15,0.102878
561,548,25,0,109,0.023518,0.217131,0.083932,0.136,0.102862
562,685,21,0,94,0.019755,0.187251,0.102584,0.142857,0.102723
563,539,22,0,100,0.020696,0.199203,0.097921,0.136364,0.102699
564,120,42,1,21,0.039511,0.041833,0.211191,0.095238,0.102625
565,079,19,0,70,0.017874,0.139442,0.11191,0.178947,0.102613
566,392,15,0,61,0.014111,0.121514,0.130561,0.173333,0.102371
567,461,19,0,64,0.017874,0.12749,0.11191,0.189474,0.102328
568,103,39,1,8,0.036689,0.015936,0.22518,0.102564,0.102261
569,531,21,0,88,0.019755,0.175299,0.102584,0.152381,0.102238
570,921,19,0,63,0.017874,0.125498,0.11191,0.189474,0.101929
571,901,13,0,48,0.01223,0.095618,0.139887,0.184615,0.101682
572,597,22,0,83,0.020696,0.165339,0.097921,0.163636,0.10138
573,669,16,0,54,0.015052,0.10757,0.125899,0.1875,0.101299
574,763,17,0,68,0.015992,0.135458,0.121236,0.164706,0.101201
575,290,19,0,77,0.017874,0.153386,0.11191,0.157895,0.101191
576,946,13,0,39,0.01223,0.077689,0.139887,0.2,0.101173
577,231,23,0,80,0.021637,0.159363,0.093258,0.173913,0.101124
578,201,18,0,64,0.016933,0.12749,0.116573,0.177778,0.101105
579,104,42,1,12,0.039511,0.023904,0.211191,0.104762,0.100944
580,325,18,0,58,0.016933,0.115538,0.116573,0.188889,0.100937
581,766,28,0,105,0.026341,0.209163,0.069944,0.15,0.100718
582,974,13,0,53,0.01223,0.105578,0.139887,0.169231,0.100597
583,299,19,0,70,0.017874,0.139442,0.11191,0.168421,0.100508
584,755,18,0,68,0.016933,0.135458,0.116573,0.166667,0.100477
585,864,17,0,60,0.015992,0.119522,0.121236,0.176471,0.100367
586,995,15,0,49,0.014111,0.09761,0.130561,0.186667,0.100257
587,313,23,0,99,0.021637,0.197211,0.093258,0.130435,0.099998
588,866,28,0,110,0.026341,0.219124,0.069944,0.135714,0.099853
589,271,20,0,75,0.018815,0.149402,0.107247,0.16,0.099699
590,061,17,0,58,0.015992,0.115538,0.121236,0.176471,0.09957
591,045,22,0,92,0.020696,0.183267,0.097921,0.136364,0.099511
592,742,23,0,89,0.021637,0.177291,0.093258,0.147826,0.099492
593,985,15,0,67,0.014111,0.133466,0.130561,0.146667,0.099428
594,827,21,0,76,0.019755,0.151394,0.102584,0.161905,0.099362
595,630,22,0,87,0.020696,0.173307,0.097921,0.145455,0.099337
596,123,44,1,18,0.041392,0.035857,0.201865,0.095455,0.099239
597,283,19,0,72,0.017874,0.143426,0.11191,0.157895,0.099199
598,964,16,0,42,0.015052,0.083665,0.125899,0.2,0.099018
599,326,23,0,92,0.021637,0.183267,0.093258,0.13913,0.098948
600,806,25,0,103,0.023518,0.205179,0.083932,0.128,0.098871
601,398,16,0,54,0.015052,0.10757,0.125899,0.175,0.098799
602,440,14,0,50,0.01317,0.099602,0.135224,0.171429,0.098724
603,347,22,0,90,0.020696,0.179283,0.097921,0.136364,0.098714
604,792,20,0,67,0.018815,0.133466,0.107247,0.17,0.098512
605,261,20,0,77,0.018815,0.153386,0.107247,0.15,0.098496
606,191,26,0,107,0.024459,0.213147,0.079269,0.123077,0.098363
607,077,17,0,49,0.015992,0.09761,0.121236,0.188235,0.098337
608,081,18,0,57,0.016933,0.113546,0.116573,0.177778,0.098317
609,419,18,0,51,0.016933,0.101594,0.116573,0.188889,0.098148
610,601,15,0,57,0.014111,0.113546,0.130561,0.16,0.098111
611,488,20,0,71,0.018815,0.141434,0.107247,0.16,0.098105
612,882,17,0,66,0.015992,0.131474,0.121236,0.152941,0.098051
613,710,16,0,64,0.015052,0.12749,0.125899,0.15,0.097783
614,485,22,0,87,0.020696,0.173307,0.097921,0.136364,0.097519
615,861,23,0,84,0.021637,0.167331,0.093258,0.147826,0.0975
616,324,20,0,59,0.018815,0.11753,0.107247,0.18,0.097324
617,624,15,0,48,0.014111,0.095618,0.130561,0.173333,0.097192
618,245,21,0,80,0.019755,0.159363,0.102584,0.142857,0.097146
619,028,17,0,46,0.015992,0.091633,0.121236,0.188235,0.097142
620,803,14,0,53,0.01317,0.105578,0.135224,0.157143,0.097063
621,059,22,0,81,0.020696,0.161355,0.097921,0.145455,0.096947
622,559,17,0,57,0.015992,0.113546,0.121236,0.164706,0.096819
623,311,21,0,69,0.019755,0.13745,0.102584,0.161905,0.096573
624,445,17,0,50,0.015992,0.099602,0.121236,0.176471,0.096383
625,810,17,0,38,0.015992,0.075697,0.121236,0.2,0.096308
626,218,26,0,86,0.024459,0.171315,0.079269,0.153846,0.096151
627,829,19,0,59,0.017874,0.11753,0.11191,0.168421,0.096125
628,102,45,1,14,0.042333,0.027888,0.197202,0.093333,0.096105
629,053,17,0,55,0.015992,0.109562,0.121236,0.164706,0.096022
630,413,19,0,64,0.017874,0.12749,0.11191,0.157895,0.096012
631,518,16,0,47,0.015052,0.093625,0.125899,0.175,0.09601
632,727,21,0,77,0.019755,0.153386,0.102584,0.142857,0.095951
633,566,18,0,56,0.016933,0.111554,0.116573,0.166667,0.095696
634,816,17,0,59,0.015992,0.11753,0.121236,0.152941,0.095263
635,322,22,0,72,0.020696,0.143426,0.097921,0.154545,0.09518
636,893,15,0,36,0.014111,0.071713,0.130561,0.186667,0.095078
637,963,19,0,56,0.017874,0.111554,0.11191,0.168421,0.09493
638,050,18,0,65,0.016933,0.129482,0.116573,0.144444,0.094837
639,532,17,0,52,0.015992,0.103586,0.121236,0.164706,0.094827
640,903,14,0,40,0.01317,0.079681,0.135224,0.171429,0.09474
641,060,26,0,94,0.024459,0.187251,0.079269,0.130769,0.094723
642,771,20,0,57,0.018815,0.113546,0.107247,0.17,0.094528
643,869,16,0,37,0.015052,0.073705,0.125899,0.1875,0.094526
644,402,19,0,60,0.017874,0.119522,0.11191,0.157895,0.094418
645,728,24,0,82,0.022578,0.163347,0.088595,0.141667,0.094355
646,365,22,0,79,0.020696,0.157371,0.097921,0.136364,0.094332
647,673,15,0,27,0.014111,0.053785,0.130561,0.2,0.094159
648,892,18,0,52,0.016933,0.103586,0.116573,0.166667,0.094102
649,994,14,0,24,0.01317,0.047809,0.135224,0.2,0.09408
650,790,28,0,99,0.026341,0.197211,0.069944,0.128571,0.094042
651,011,15,0,33,0.014111,0.065737,0.130561,0.186667,0.093882
652,987,16,0,35,0.015052,0.069721,0.125899,0.1875,0.093729
653,423,20,0,60,0.018815,0.119522,0.107247,0.16,0.093723
654,716,20,0,65,0.018815,0.129482,0.107247,0.15,0.093715
655,473,24,0,72,0.022578,0.143426,0.088595,0.158333,0.093704
656,895,28,0,98,0.026341,0.195219,0.069944,0.128571,0.093643
657,248,24,0,76,0.022578,0.151394,0.088595,0.15,0.093631
658,837,19,0,84,0.017874,0.167331,0.11191,0.105263,0.093454
659,032,20,0,59,0.018815,0.11753,0.107247,0.16,0.093324
660,821,20,0,64,0.018815,0.12749,0.107247,0.15,0.093316
661,022,24,0,71,0.022578,0.141434,0.088595,0.158333,0.093305
662,010,21,0,70,0.019755,0.139442,0.102584,0.142857,0.093162
663,527,24,0,79,0.022578,0.157371,0.088595,0.141667,0.093159
664,540,17,0,36,0.015992,0.071713,0.121236,0.188235,0.093158
665,971,16,0,46,0.015052,0.091633,0.125899,0.1625,0.093112
666,745,24,0,83,0.022578,0.165339,0.088595,0.133333,0.093086
667,700,15,0,44,0.014111,0.087649,0.130561,0.16,0.092932
668,560,20,0,58,0.018815,0.115538,0.107247,0.16,0.092926
669,235,22,0,66,0.020696,0.131474,0.097921,0.154545,0.092789
670,058,26,0,93,0.024459,0.185259,0.079269,0.123077,0.092786
671,711,18,0,43,0.016933,0.085657,0.116573,0.177778,0.092739
672,663,22,0,75,0.020696,0.149402,0.097921,0.136364,0.092738
673,635,16,0,45,0.015052,0.089641,0.125899,0.1625,0.092713
674,197,24,0,86,0.022578,0.171315,0.088595,0.125,0.092615
675,627,25,0,74,0.023518,0.14741,0.083932,0.152,0.092117
676,487,25,0,78,0.023518,0.155378,0.083932,0.144,0.092111
677,603,17,0,39,0.015992,0.077689,0.121236,0.176471,0.092
678,918,17,0,39,0.015992,0.077689,0.121236,0.176471,0.092
679,689,22,0,73,0.020696,0.145418,0.097921,0.136364,0.091942
680,078,15,0,28,0.014111,0.055777,0.130561,0.186667,0.09189
681,740,15,0,28,0.014111,0.055777,0.130561,0.186667,0.09189
682,836,22,0,68,0.020696,0.135458,0.097921,0.145455,0.091768
683,924,21,0,52,0.019755,0.103586,0.102584,0.171429,0.091705
684,025,17,0,44,0.015992,0.087649,0.121236,0.164706,0.09164
685,431,18,0,40,0.016933,0.079681,0.116573,0.177778,0.091544
686,083,24,0,66,0.022578,0.131474,0.088595,0.158333,0.091313
687,812,24,0,66,0.022578,0.131474,0.088595,0.158333,0.091313
688,219,24,0,70,0.022578,0.139442,0.088595,0.15,0.09124
689,801,15,0,26,0.014111,0.051793,0.130561,0.186667,0.091094
690,227,26,0,73,0.024459,0.145418,0.079269,0.153846,0.090971
691,954,22,0,66,0.020696,0.131474,0.097921,0.145455,0.090971
692,851,24,0,65,0.022578,0.129482,0.088595,0.158333,0.090915
693,115,47,1,4,0.044214,0.007968,0.187876,0.097872,0.090795
694,462,23,0,71,0.021637,0.141434,0.093258,0.13913,0.090581
695,957,20,0,52,0.018815,0.103586,0.107247,0.16,0.090536
696,658,18,0,43,0.016933,0.085657,0.116573,0.166667,0.090517
697,080,19,0,50,0.017874,0.099602,0.11191,0.157895,0.090434
698,170,26,0,87,0.024459,0.173307,0.079269,0.123077,0.090395
699,353,19,0,60,0.017874,0.119522,0.11191,0.136842,0.090208
700,444,23,0,70,0.021637,0.139442,0.093258,0.13913,0.090183
701,916,26,0,71,0.024459,0.141434,0.079269,0.153846,0.090175
702,592,18,0,42,0.016933,0.083665,0.116573,0.166667,0.090118
703,982,24,0,67,0.022578,0.133466,0.088595,0.15,0.090045
704,497,21,0,62,0.019755,0.123506,0.102584,0.142857,0.089974
705,674,18,0,36,0.016933,0.071713,0.116573,0.177778,0.08995
706,852,18,0,36,0.016933,0.071713,0.116573,0.177778,0.08995
707,173,28,0,85,0.026341,0.169323,0.069944,0.135714,0.089893
