rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
318,178,26,1,14,0.024505,0.028,0.308577,0.146154,0.134755
319,908,21,1,2,0.019793,0.004,0.331197,0.142857,0.134668
320,655,23,1,9,0.021678,0.018,0.322149,0.13913,0.134574
321,415,26,1,21,0.024505,0.042,0.308577,0.130769,0.134478
322,406,23,1,13,0.021678,0.026,0.322149,0.130435,0.134435
323,885,24,1,10,0.02262,0.02,0.317625,0.141667,0.134407
324,707,24,1,14,0.02262,0.028,0.317625,0.133333,0.13434
325,303,23,1,4,0.021678,0.008,0.322149,0.147826,0.134313
326,403,26,1,9,0.024505,0.018,0.308577,0.153846,0.134294
327,193,25,1,19,0.023563,0.038,0.313101,0.128,0.134199
328,260,15,0,106,0.014138,0.212,0.158341,0.2,0.134144
329,533,23,0,162,0.021678,0.324,0.122149,0.130435,0.134035
330,427,24,1,9,0.02262,0.018,0.317625,0.141667,0.134007
331,628,25,1,10,0.023563,0.02,0.313101,0.144,0.133799
332,626,21,0,145,0.019793,0.29,0.131197,0.152381,0.133773
333,216,28,1,22,0.02639,0.044,0.299529,0.135714,0.133719
334,695,22,1,1,0.020735,0.002,0.326673,0.145455,0.133713
335,917,24,1,4,0.02262,0.008,0.317625,0.15,0.133674
336,782,22,1,19,0.020735,0.038,0.326673,0.109091,0.133641
337,035,15,0,98,0.014138,0.196,0.158341,0.213333,0.13361
338,293,20,0,118,0.01885,0.236,0.135721,0.2,0.133571
339,972,24,1,12,0.02262,0.024,0.317625,0.133333,0.13354
340,664,26,1,14,0.024505,0.028,0.308577,0.138462,0.133217
341,671,22,1,4,0.020735,0.008,0.326673,0.136364,0.133095
342,784,25,1,20,0.023563,0.04,0.313101,0.12,0.132999
343,880,25,1,16,0.023563,0.032,0.313101,0.128,0.132999
344,690,24,1,10,0.02262,0.02,0.317625,0.133333,0.13274
345,694,27,1,14,0.025448,0.028,0.304053,0.140741,0.132598
346,275,25,1,6,0.023563,0.012,0.313101,0.144,0.132199
347,317,23,1,3,0.021678,0.006,0.322149,0.13913,0.132174
348,276,28,1,7,0.02639,0.014,0.299529,0.157143,0.132004
349,887,24,1,8,0.02262,0.016,0.317625,0.133333,0.13194
350,902,22,1,1,0.020735,0.002,0.326673,0.136364,0.131895
351,410,21,0,145,0.019793,0.29,0.131197,0.142857,0.131868
352,092,13,0,118,0.012253,0.236,0.167389,0.153846,0.131862
353,739,23,1,2,0.021678,0.004,0.322149,0.13913,0.131774
354,998,23,1,2,0.021678,0.004,0.322149,0.13913,0.131774
355,480,26,1,14,0.024505,0.028,0.308577,0.130769,0.131678
356,587,26,1,10,0.024505,0.02,0.308577,0.138462,0.131617
357,397,24,1,7,0.02262,0.014,0.317625,0.133333,0.13154
358,617,24,1,7,0.02262,0.014,0.317625,0.133333,0.13154
359,509,27,1,15,0.025448,0.03,0.304053,0.133333,0.131517
360,612,21,0,139,0.019793,0.278,0.131197,0.152381,0.131373
361,309,26,1,1,0.024505,0.002,0.308577,0.153846,0.131094
362,859,28,1,19,0.02639,0.038,0.299529,0.128571,0.13109
363,084,25,1,11,0.023563,0.022,0.313101,0.128,0.130999
364,281,25,1,11,0.023563,0.022,0.313101,0.128,0.130999
365,677,25,1,3,0.023563,0.006,0.313101,0.144,0.130999
366,212,27,1,10,0.025448,0.02,0.304053,0.140741,0.130998
367,266,23,1,0,0.021678,0.0,0.322149,0.13913,0.130974
368,642,11,0,69,0.010368,0.138,0.176437,0.236364,0.130914
369,649,17,0,115,0.016023,0.23,0.149293,0.176471,0.130889
370,297,23,1,4,0.021678,0.008,0.322149,0.130435,0.130835
371,951,23,1,4,0.021678,0.008,0.322149,0.130435,0.130835
372,269,20,1,1,0.01885,0.002,0.335721,0.12,0.130771
373,865,27,0,152,0.025448,0.304,0.104053,0.155556,0.130761
374,733,25,1,14,0.023563,0.028,0.313101,0.12,0.130599
375,043,28,1,14,0.02639,0.028,0.299529,0.135714,0.130519
376,814,11,0,68,0.010368,0.136,0.176437,0.236364,0.130514
377,268,23,1,3,0.021678,0.006,0.322149,0.130435,0.130435
378,662,23,1,3,0.021678,0.006,0.322149,0.130435,0.130435
379,421,24,1,0,0.02262,0.0,0.317625,0.141667,0.130407
380,746,24,1,0,0.02262,0.0,0.317625,0.141667,0.130407
381,358,24,1,8,0.02262,0.016,0.317625,0.125,0.130274
382,448,16,0,99,0.01508,0.198,0.153817,0.2,0.130269
383,576,25,1,13,0.023563,0.026,0.313101,0.12,0.130199
384,181,27,1,8,0.025448,0.016,0.304053,0.140741,0.130198
385,791,13,0,75,0.012253,0.15,0.167389,0.230769,0.130046
386,052,32,1,22,0.03016,0.044,0.281433,0.1375,0.129778
387,195,30,1,12,0.028275,0.024,0.290481,0.146667,0.12976
388,396,27,1,3,0.025448,0.006,0.304053,0.148148,0.12968
389,886,23,1,1,0.021678,0.002,0.322149,0.130435,0.129635
390,811,24,1,2,0.02262,0.004,0.317625,0.133333,0.12954
391,856,24,1,2,0.02262,0.004,0.317625,0.133333,0.12954
392,863,21,0,139,0.019793,0.278,0.131197,0.142857,0.129468
393,449,28,1,4,0.02639,0.008,0.299529,0.15,0.129376
394,510,28,1,18,0.02639,0.036,0.299529,0.121429,0.129261
395,046,28,1,14,0.02639,0.028,0.299529,0.128571,0.12909
396,026,27,1,5,0.025448,0.01,0.304053,0.140741,0.128998
397,400,29,1,8,0.027333,0.016,0.295005,0.144828,0.128867
398,223,31,1,18,0.029218,0.036,0.285957,0.135484,0.128849
399,263,11,0,72,0.010368,0.144,0.176437,0.218182,0.128478
400,783,27,1,14,0.025448,0.028,0.304053,0.118519,0.128154
401,224,28,1,8,0.02639,0.016,0.299529,0.135714,0.128119
402,841,19,0,112,0.017908,0.224,0.140245,0.178947,0.128035
403,585,20,0,124,0.01885,0.248,0.135721,0.16,0.127971
404,222,33,1,19,0.031103,0.038,0.276909,0.139394,0.127882
405,849,25,1,3,0.023563,0.006,0.313101,0.128,0.127799
406,595,16,0,124,0.01508,0.248,0.153817,0.1375,0.127769
407,312,14,0,73,0.013195,0.146,0.162865,0.228571,0.127732
408,721,28,1,7,0.02639,0.014,0.299529,0.135714,0.127719
409,555,14,0,87,0.013195,0.174,0.162865,0.2,0.127618
410,319,18,0,114,0.016965,0.228,0.144769,0.166667,0.127454
