rank,number,frequencyCount,recentCount,currentDelay,F_i,D_i,T_i,C_i,Score_i
374,801,15,1,10,0.021216,0.033557,0.316088,0.186667,0.145236
375,155,11,0,105,0.015559,0.352349,0.11215,0.181818,0.145146
376,466,12,1,2,0.016973,0.006711,0.34012,0.183333,0.145137
377,737,13,1,9,0.018388,0.030201,0.332109,0.169231,0.145036
378,879,13,1,9,0.018388,0.030201,0.332109,0.169231,0.145036
379,677,14,1,11,0.019802,0.036913,0.324099,0.171429,0.144838
380,240,17,1,18,0.024045,0.060403,0.300067,0.176471,0.144608
381,391,15,1,13,0.021216,0.043624,0.316088,0.173333,0.144583
382,448,13,1,8,0.018388,0.026846,0.332109,0.169231,0.144364
383,156,16,1,18,0.022631,0.060403,0.308077,0.1625,0.143793
384,074,22,0,146,0.031117,0.489933,0.024032,0.145455,0.143622
385,614,11,0,97,0.015559,0.325503,0.11215,0.2,0.143413
386,201,18,1,22,0.02546,0.073826,0.292056,0.166667,0.143353
387,105,17,1,16,0.024045,0.053691,0.300067,0.176471,0.143266
388,102,15,1,15,0.021216,0.050336,0.316088,0.16,0.143258
389,736,16,1,6,0.022631,0.020134,0.308077,0.2,0.143239
390,934,16,1,6,0.022631,0.020134,0.308077,0.2,0.143239
391,759,14,1,4,0.019802,0.013423,0.324099,0.185714,0.142998
392,954,14,1,4,0.019802,0.013423,0.324099,0.185714,0.142998
393,972,8,0,65,0.011315,0.218121,0.136182,0.275,0.142873
394,374,14,1,8,0.019802,0.026846,0.324099,0.171429,0.142825
395,810,13,1,1,0.018388,0.003356,0.332109,0.184615,0.142743
396,863,18,1,21,0.02546,0.07047,0.292056,0.166667,0.142682
397,226,13,1,10,0.018388,0.033557,0.332109,0.153846,0.14263
398,222,15,1,14,0.021216,0.04698,0.316088,0.16,0.142587
399,912,15,1,10,0.021216,0.033557,0.316088,0.173333,0.142569
400,785,16,1,12,0.022631,0.040268,0.308077,0.175,0.142266
401,908,16,1,12,0.022631,0.040268,0.308077,0.175,0.142266
402,228,8,0,64,0.011315,0.214765,0.136182,0.275,0.142202
403,581,16,1,23,0.022631,0.077181,0.308077,0.1375,0.142149
404,768,16,1,23,0.022631,0.077181,0.308077,0.1375,0.142149
405,135,16,1,8,0.022631,0.026846,0.308077,0.1875,0.142082
406,336,13,1,0,0.018388,0.0,0.332109,0.184615,0.142072
407,062,14,1,11,0.019802,0.036913,0.324099,0.157143,0.141981
408,852,16,1,19,0.022631,0.063758,0.308077,0.15,0.141964
409,301,10,0,74,0.014144,0.248322,0.12016,0.26,0.141956
410,699,17,1,21,0.024045,0.07047,0.300067,0.152941,0.141916
411,827,14,0,112,0.019802,0.375839,0.088117,0.171429,0.141829
412,305,12,1,2,0.016973,0.006711,0.34012,0.166667,0.141804
413,516,11,0,100,0.015559,0.33557,0.11215,0.181818,0.14179
414,652,16,0,124,0.022631,0.416107,0.072096,0.15,0.14164
415,975,7,0,57,0.009901,0.191275,0.144192,0.285714,0.141626
416,706,17,0,126,0.024045,0.422819,0.064085,0.152941,0.141591
417,615,18,1,16,0.02546,0.053691,0.292056,0.177778,0.141549
418,789,18,1,19,0.02546,0.063758,0.292056,0.166667,0.14134
419,567,10,0,85,0.014144,0.285235,0.12016,0.22,0.141338
420,328,16,1,14,0.022631,0.04698,0.308077,0.1625,0.141108
421,510,9,0,81,0.01273,0.271812,0.128171,0.222222,0.141077
422,109,18,1,15,0.02546,0.050336,0.292056,0.177778,0.140877
423,574,8,0,62,0.011315,0.208054,0.136182,0.275,0.14086
424,916,14,1,5,0.019802,0.016779,0.324099,0.171429,0.140812
425,250,18,1,18,0.02546,0.060403,0.292056,0.166667,0.140669
426,873,15,1,3,0.021216,0.010067,0.316088,0.186667,0.140538
427,611,12,1,0,0.016973,0.0,0.34012,0.166667,0.140461
428,578,13,1,2,0.018388,0.006711,0.332109,0.169231,0.140338
429,867,13,1,2,0.018388,0.006711,0.332109,0.169231,0.140338
430,949,7,0,46,0.009901,0.154362,0.144192,0.314286,0.139958
431,559,15,1,2,0.021216,0.006711,0.316088,0.186667,0.139867
432,210,11,0,97,0.015559,0.325503,0.11215,0.181818,0.139777
433,055,9,0,79,0.01273,0.265101,0.128171,0.222222,0.139735
434,784,17,1,21,0.024045,0.07047,0.300067,0.141176,0.139563
435,058,10,0,82,0.014144,0.275168,0.12016,0.22,0.139325
436,577,16,1,15,0.022631,0.050336,0.308077,0.15,0.13928
437,198,15,1,13,0.021216,0.043624,0.316088,0.146667,0.13925
438,369,19,1,18,0.026874,0.060403,0.284045,0.168421,0.139041
439,267,14,1,2,0.019802,0.006711,0.324099,0.171429,0.138798
440,721,16,1,3,0.022631,0.010067,0.308077,0.1875,0.138726
441,603,16,1,14,0.022631,0.04698,0.308077,0.15,0.138608
442,473,16,0,108,0.022631,0.362416,0.072096,0.1875,0.138401
443,524,14,0,115,0.019802,0.385906,0.088117,0.142857,0.138128
444,433,12,0,97,0.016973,0.325503,0.104139,0.183333,0.138101
445,704,14,1,5,0.019802,0.016779,0.324099,0.157143,0.137955
446,136,15,1,7,0.021216,0.02349,0.316088,0.16,0.137889
447,857,14,1,9,0.019802,0.030201,0.324099,0.142857,0.137782
448,326,19,1,19,0.026874,0.063758,0.284045,0.157895,0.137606
449,720,18,1,10,0.02546,0.033557,0.292056,0.177778,0.137522
450,168,14,1,0,0.019802,0.0,0.324099,0.171429,0.137456
451,231,14,1,0,0.019802,0.0,0.324099,0.171429,0.137456
452,182,12,0,86,0.016973,0.288591,0.104139,0.216667,0.137385
453,437,11,0,88,0.015559,0.295302,0.11215,0.2,0.137373
454,446,18,1,13,0.02546,0.043624,0.292056,0.166667,0.137313
455,054,13,1,2,0.018388,0.006711,0.332109,0.153846,0.137261
456,883,15,1,10,0.021216,0.033557,0.316088,0.146667,0.137236
457,238,17,1,14,0.024045,0.04698,0.300067,0.152941,0.137218
458,657,14,0,105,0.019802,0.352349,0.088117,0.171429,0.137131
459,280,20,0,129,0.028289,0.432886,0.040053,0.15,0.13708
460,056,18,1,19,0.02546,0.063758,0.292056,0.144444,0.136895
461,185,17,1,17,0.024045,0.057047,0.300067,0.141176,0.136878
462,496,18,1,9,0.02546,0.030201,0.292056,0.177778,0.136851
463,738,16,1,15,0.022631,0.050336,0.308077,0.1375,0.13678
464,869,20,1,23,0.028289,0.077181,0.276035,0.15,0.136733
465,206,18,1,22,0.02546,0.073826,0.292056,0.133333,0.136686
466,999,17,0,108,0.024045,0.362416,0.064085,0.188235,0.136569
467,921,8,0,63,0.011315,0.211409,0.136182,0.25,0.136531
468,219,15,1,1,0.021216,0.003356,0.316088,0.173333,0.136529
469,795,14,1,7,0.019802,0.02349,0.324099,0.142857,0.13644
470,888,18,1,15,0.02546,0.050336,0.292056,0.155556,0.136433
471,637,20,1,22,0.028289,0.073826,0.276035,0.15,0.136062
472,723,18,0,123,0.02546,0.412752,0.056075,0.144444,0.1359
473,011,17,1,5,0.024045,0.016779,0.300067,0.176471,0.135883
474,609,15,1,4,0.021216,0.013423,0.316088,0.16,0.135876
475,899,17,1,12,0.024045,0.040268,0.300067,0.152941,0.135876
476,124,15,1,0,0.021216,0.0,0.316088,0.173333,0.135858
477,656,15,1,0,0.021216,0.0,0.316088,0.173333,0.135858
478,276,16,0,104,0.022631,0.348993,0.072096,0.1875,0.135717
479,208,15,0,97,0.021216,0.325503,0.080107,0.2,0.135498
480,610,8,0,54,0.011315,0.181208,0.136182,0.275,0.135491
481,115,16,1,13,0.022631,0.043624,0.308077,0.1375,0.135437
482,923,16,1,13,0.022631,0.043624,0.308077,0.1375,0.135437
483,687,18,1,20,0.02546,0.067114,0.292056,0.133333,0.135344
484,423,14,1,1,0.019802,0.003356,0.324099,0.157143,0.13527
485,914,16,1,9,0.022631,0.030201,0.308077,0.15,0.135253
486,716,21,1,23,0.029703,0.077181,0.268024,0.152381,0.135231
487,812,13,0,95,0.018388,0.318792,0.096128,0.184615,0.135036
488,107,20,1,20,0.028289,0.067114,0.276035,0.15,0.13472
489,955,19,1,14,0.026874,0.04698,0.284045,0.157895,0.134251
490,820,17,0,115,0.024045,0.385906,0.064085,0.152941,0.134209
491,045,18,1,5,0.02546,0.016779,0.292056,0.177778,0.134166
492,911,18,1,5,0.02546,0.016779,0.292056,0.177778,0.134166
493,041,19,1,20,0.026874,0.067114,0.284045,0.136842,0.134067
494,682,16,1,7,0.022631,0.02349,0.308077,0.15,0.13391
495,378,7,0,54,0.009901,0.181208,0.144192,0.257143,0.133898
496,019,15,1,1,0.021216,0.003356,0.316088,0.16,0.133862
497,832,17,1,12,0.024045,0.040268,0.300067,0.141176,0.133523
498,702,20,1,18,0.028289,0.060403,0.276035,0.15,0.133378
499,521,11,0,82,0.015559,0.275168,0.11215,0.2,0.133346
500,209,15,1,4,0.021216,0.013423,0.316088,0.146667,0.133209
501,817,16,1,1,0.022631,0.003356,0.308077,0.1625,0.132384
502,385,19,1,11,0.026874,0.036913,0.284045,0.157895,0.132237
503,871,17,1,10,0.024045,0.033557,0.300067,0.141176,0.13218
504,455,15,0,100,0.021216,0.33557,0.080107,0.173333,0.132178
